# gene
rpsT
ribF
ileS
lspA
ispH
dapB
folA
lptD
ftsL
ftsI
murE
murF
mraY
murD
ftsW
murG
murC
ftsQ
ftsA
ftsZ
lpxC
secA
coaE
aceF
lpd
can
hemL
erpA
dapD
map
rpsB
tsf
pyrH
frr
dxr
ispU
cdsA
bamA
lpxD
fabZ
lpxA
lpxB
dnaE
accA
tilS
proS
ykfM
hemB
ribD
ribE
nusB
thiL
dxs
ispA
dnaX
adk
hemH
lpxH
cysS
folD
lipA
mrdB
mrdA
nadD
holA
lptE
leuS
lnt
ybeY
glnS
fldA
sucA
sucB
cydA
cydB
cydX
infA
cydC
cydD
lolA
serS
rpsA
msbA
lpxK
ycaR
kdsB
mukF
mukE
mukB
asnS
fabA
tusE
lpxL
murJ
rpmF
fabH
fabD
fabG
acpP
tmk
holB
lolC
lolD
lolE
purB
mnmA
ymfE
cohE
iraM
pth
prs
ispE
lolB
hemA
prfA
prmC
kdsA
tonB
trpL
topA
ribA
yciS
ymiB
fabI
ydaE
racR
ydaS
ttcC
ynbG
yncH
ydcD
yddL
safA
hipB
ydfO
relB
dicA
tyrS
pdxH
ydhL
rnt
ribC
ihfA
pheT
pheS
pheM
rplT
rpmI
infC
thrS
nadE
gapA
tsaB
yobI
aspS
argS
pgsA
yedN
dcd
metG
folE
rplY
gyrA
ubiG
nrdA
nrdB
ubiX
folC
accD
fabB
gltX
ligA
zipA
ptsI
yffS
dapE
dapA
hda
guaA
der
hisS
ispG
fdx
hscA
iscU
iscS
suhB
glyA
tadA
acpS
era
lepB
rpoE
pssA
rluD
bamD
rplS
trmD
rimM
rpsP
ffh
grpE
nadK
csrA
alaS
ispF
ispD
ftsB
yqcG
eno
pyrG
thyA
lgt
yqeL
ygeF
ygeG
ygeN
lysS
prfB
ygfZ
ubiH
fbaA
pgk
tktA
metK
yqgF
plsC
parC
parE
cca
folB
tsaD
rpsU
dnaG
rpoD
higA
rpsO
rbfA
infB
nusA
glmM
folP
ftsH
obgE
rpmA
rplU
ispB
murA
lptA
lptB
rpsI
rplM
mreD
mreC
mreB
accB
accC
tsaC
def
fmt
rplQ
rpoA
rpsD
rpsK
rpsM
secY
rplO
rpmD
rpsE
rplR
rplF
rpsH
rpsN
rplE
rplX
rplN
rpsQ
rpmC
rplP
rpsC
rplV
rpsS
rplB
rplW
rplD
rplC
rpsJ
fusA
rpsG
rpsL
trpS
rpe
yrfF
asd
rpoH
ftsY
glyS
glyQ
gpsA
waaA
coaD
rpmB
dfp
dut
gmk
gyrB
dnaN
dnaA
rpmH
rnpA
yidC
glmS
glmU
rho
wzyE
hemD
hemC
dapF
ubiE
ubiB
ubiD
hemG
yihA
murI
murB
birA
coaA
secE
nusG
rplK
rplA
rplJ
rplL
rpoB
rpoC
hemE
ubiA
plsB
lexA
dnaB
yjbS
ssb
groS
groL
psd
rsgA
orn
tsaE
rpsF
priB
rpsR
ppa
valS
lptF
lptG
dnaC
dnaT
holD
