gene_ko,RNA_ID,Monomer_ID,Process,KO_index
rplT,EG10881_RNA,EG10881-MONOMER,Translation,868
rplV,EG10882_RNA,EG10882-MONOMER,Translation,869
rplW,EG10883_RNA,EG10883-MONOMER,Translation,870
rplX,EG10884_RNA,EG10884-MONOMER,Translation,871
rplY,EG10885_RNA,EG10885-MONOMER,Translation,872
rpmB,EG10886_RNA,EG10886-MONOMER,Translation,873
rpmC,EG10887_RNA,EG10887-MONOMER,Translation,874
rpmD,EG10888_RNA,EG10888-MONOMER,Translation,875
rpmE,EG10889_RNA,EG10889-MONOMER,Translation,876
rpmF,EG10890_RNA,EG10890-MONOMER,Translation,877
rpmG,EG10891_RNA,EG10891-MONOMER,Translation,878
rpmH,EG10892_RNA,EG10892-MONOMER,Translation,879
rpoA,EG10893_RNA,EG10893-MONOMER,Transcription,880
rpoB,EG10894_RNA,RPOB-MONOMER,Transcription,881
rpoC,EG10895_RNA,RPOC-MONOMER,Transcription,882
rpsA,EG10900_RNA,EG10900-MONOMER,Translation,887
rpsB,EG10901_RNA,EG10901-MONOMER,Translation,888
rpsC,EG10902_RNA,EG10902-MONOMER,Translation,889
rpsD,EG10903_RNA,EG10903-MONOMER,Translation,890
rpsE,EG10904_RNA,EG10904-MONOMER,Translation,891
rpsF,EG10905_RNA,EG10905-MONOMER,Translation,892
rpsG,EG10906_RNA,EG10906-MONOMER,Translation,893
rpsH,EG10907_RNA,EG10907-MONOMER,Translation,894
rpsI,EG10908_RNA,EG10908-MONOMER,Translation,895
rpsJ,EG10909_RNA,EG10909-MONOMER,Translation,896
rpsK,EG10910_RNA,EG10910-MONOMER,Translation,897
rpsL,EG10911_RNA,EG10911-MONOMER,Translation,898
rpsM,EG10912_RNA,EG10912-MONOMER,Translation,899
rpsN,EG10913_RNA,EG10913-MONOMER,Translation,900
rpsO,EG10914_RNA,EG10914-MONOMER,Translation,901
rpsP,EG10915_RNA,EG10915-MONOMER,Translation,902
rpsQ,EG10916_RNA,EG10916-MONOMER,Translation,903
rpsR,EG10917_RNA,EG10917-MONOMER,Translation,904
rpsS,EG10918_RNA,EG10918-MONOMER,Translation,905
rpsT,EG10919_RNA,EG10919-MONOMER,Translation,906
rpsU,EG10920_RNA,EG10920-MONOMER,Translation,907
ftnA,EG10921_RNA,EG10921-MONOMER,Metabolism,908
coaA,EG10922_RNA,PANTOTHENATE-KIN-MONOMER,Metabolism,909
sbmA,EG10928_RNA,SBMA-MONOMER,Metabolism,913
sbp,EG10929_RNA,SBP-MONOMER,Metabolism,914
sdaA,EG10930_RNA,LSERINEDEAM1-MONOMER,Metabolism,915
sdhA,EG10931_RNA,SDH-FLAVO,Metabolism,916
sdhB,EG10932_RNA,SDH-FE-S,Metabolism,917
sdhC,EG10933_RNA,SDH-MEMB1,Metabolism,918
sdhD,EG10934_RNA,SDH-MEMB2,Metabolism,919
secD,EG10938_RNA,SECD,Metabolism,923
secE,EG10939_RNA,SECE,Metabolism,924
secF,EG10940_RNA,SECF,Metabolism,925
selA,EG10941_RNA,EG10941-MONOMER,Metabolism,926
selB,EG10942_RNA,EG10942-MONOMER,Metabolism,927
