gene_ko,RNA_ID,Monomer_ID,Process,KO_index
rhtB,EG11469_RNA,RHTB-MONOMER,Metabolism,1420
yigL,EG11470_RNA,EG11470-MONOMER,Metabolism,1421
bioP,EG11471_RNA,EG11471-MONOMER,Metabolism,1422
ubiE,EG11473_RNA,2-OCTAPRENYL-METHOXY-BENZOQ-METH-MONOMER,Metabolism,1424
ubiJ,EG11474_RNA,EG11474-MONOMER,Metabolism,1425
tatC,EG11479_RNA,EG11479-MONOMER,Metabolism,1427
hemG,EG11485_RNA,PROTOPORGENOXI-MONOMER,Metabolism,1430
wzxE,EG11486_RNA,EG11486-MONOMER,Metabolism,1431
pdxH,EG11487_RNA,PDXH-MONOMER,Metabolism,1432
gadB,EG11490_RNA,GLUTDECARBOXB-MONOMER,Metabolism,1435
qorA,EG11492_RNA,QOR-MONOMER,Metabolism,1437
pabC,EG11493_RNA,ADCLY-MONOMER,Metabolism,1438
mltG,EG11494_RNA,EG11494-MONOMER,Metabolism,1439
prmA,EG11497_RNA,EG11497-MONOMER,Metabolism,1441
yhdJ,EG11498_RNA,EG11498-MONOMER,Metabolism,1442
adiA,EG11501_RNA,ARGDECARBOXDEG-MONOMER,Metabolism,1445
trmO,EG11503_RNA,EG11503-MONOMER,Metabolism,1447
metQ,EG11504_RNA,METQ-MONOMER,Metabolism,1448
ftsH,EG11506_RNA,EG11506-MONOMER,Metabolism,1450
rlmE,EG11507_RNA,EG11507-MONOMER,Metabolism,1451
ppk,EG11510_RNA,PPK-MONOMER,Metabolism,1454
mog,EG11511_RNA,EG11511-MONOMER,Metabolism,1455
satP,EG11512_RNA,EG11512-MONOMER,Metabolism,1456
glpX,EG11517_RNA,EG11517-MONOMER,Metabolism,1460
fabI,EG11528_RNA,ENOYL-ACP-REDUCT-NADH-MONOMER,Metabolism,1470
fadD,EG11530_RNA,ACYLCOASYN-MONOMER,Metabolism,1472
cfa,EG11531_RNA,CFA-MONOMER,Metabolism,1473
menC,EG11532_RNA,O-SUCCINYLBENZOATE-COA-SYN-MONOMER,Metabolism,1474
yfiC,EG11538_RNA,EG11538-MONOMER,Metabolism,1480
pyrH,EG11539_RNA,UMPKI-MONOMER,Metabolism,1481
wrbA,EG11540_RNA,PD01343,Metabolism,1482
kup,EG11541_RNA,KUP-MONOMER,Metabolism,1483
tesA,EG11542_RNA,THIOESTERI-MONOMER,Metabolism,1484
hemE,EG11543_RNA,UROGENDECARBOX-MONOMER,Metabolism,1485
nadC,EG11546_RNA,QUINOPRIBOTRANS-MONOMER,Metabolism,1488
lhr,EG11548_RNA,EG11548-MONOMER,Metabolism,1490
pepT,EG11549_RNA,EG11549-MONOMER,Metabolism,1491
hypF,EG11551_RNA,EG11551-MONOMER,Metabolism,1492
glmM,EG11553_RNA,PHOSGLUCOSAMINEMUT-MONOMER,Metabolism,1494
talB,EG11556_RNA,TRANSALDOLB-MONOMER,Metabolism,1497
caiD,EG11557_RNA,CARNRACE-MONOMER,Metabolism,1498
caiC,EG11558_RNA,CAIC-MONOMER,Metabolism,1499
caiB,EG11559_RNA,CARNDEHYDRA-MONOMER,Metabolism,1500
caiA,EG11560_RNA,CROBETREDUCT-MONOMER,Metabolism,1501
caiT,EG11561_RNA,CAIT-MONOMER,Metabolism,1502
kefF,EG11568_RNA,EG11568-MONOMER,Metabolism,1508
lptD,EG11569_RNA,EG11569-MONOMER,Metabolism,1509
thiQ,EG11572_RNA,SFUC-MONOMER,Metabolism,1512
thiP,EG11573_RNA,SFUB-MONOMER,Metabolism,1513
thiB,EG11574_RNA,SFUA-MONOMER,Metabolism,1514
leuD,EG11575_RNA,LEUD-MONOMER,Metabolism,1515
leuC,EG11576_RNA,LEUC-MONOMER,Metabolism,1516
leuB,EG11577_RNA,3-ISOPROPYLMALDEHYDROG-MONOMER,Metabolism,1517
ybiA,EG11579_RNA,EG11579-MONOMER,Metabolism,1519
hcxB,EG11581_RNA,EG11581-MONOMER,Metabolism,1521
gcl,EG11583_RNA,GLYOCARBOLIG-MONOMER,Metabolism,1522
thiC,EG11585_RNA,THIC-MONOMER,Metabolism,1523
thiE,EG11586_RNA,THIE-MONOMER,Metabolism,1524
thiF,EG11587_RNA,THIF-MONOMER,Metabolism,1525
thiG,EG11589_RNA,THIG-MONOMER,Metabolism,1526
thiH,EG11590_RNA,THIH-MONOMER,Metabolism,1527
lipB,EG11591_RNA,EG11591-MONOMER,Metabolism,1528
moaA,EG11595_RNA,EG11595-MONOMER,Metabolism,1531
moaD,EG11597_RNA,EG11597-MONOMER,Metabolism,1533
moaE,EG11598_RNA,EG11598-MONOMER,Metabolism,1534
sseA,EG11600_RNA,EG11600-MONOMER,Metabolism,1536
glnE,EG11602_RNA,GLNE-MONOMER,Metabolism,1538
ygiF,EG11603_RNA,EG11603-MONOMER,Metabolism,1539
clsA,EG11608_RNA,CARDIOLIPSYN-MONOMER,Metabolism,1544
proP,EG11612_RNA,PROP-MONOMER,Metabolism,1547
eptA,EG11613_RNA,EG11613-MONOMER,Metabolism,1548
basS,EG11614_RNA,BASS-MONOMER,Metabolism,1549
gdx,EG11616_RNA,SUGE-MONOMER,Metabolism,1551
baeR,EG11618_RNA,BAER-MONOMER,Transcription Regulation,1553
rnb,EG11620_RNA,EG11620-MONOMER,RNA Decay,1555
metN,EG11621_RNA,ABC-MONOMER,Metabolism,1556
sdaB,EG11623_RNA,LSERINEDEAM2-MONOMER,Metabolism,1558
artP,EG11624_RNA,ARTP-MONOMER,Metabolism,1559
artQ,EG11626_RNA,ARTQ-MONOMER,Metabolism,1561
artM,EG11627_RNA,ARTM-MONOMER,Metabolism,1562
artJ,EG11628_RNA,ARTJ-MONOMER,Metabolism,1563
potF,EG11629_RNA,POTF-MONOMER,Metabolism,1564
potG,EG11630_RNA,POTG-MONOMER,Metabolism,1565
potH,EG11631_RNA,POTH-MONOMER,Metabolism,1566
potI,EG11632_RNA,POTI-MONOMER,Metabolism,1567
ydeA,EG11636_RNA,YDEA-MONOMER,Metabolism,1570
eamA,EG11639_RNA,EG11639-MONOMER,Metabolism,1572
dgcZ,EG11643_RNA,EG11643-MONOMER,Metabolism,1574
psuK,EG11646_RNA,EG11646-MONOMER,Metabolism,1577
accA,EG11647_RNA,CARBOXYL-TRANSFERASE-ALPHA-MONOMER,Metabolism,1578
dkgB,EG11648_RNA,MONOMER0-149,Metabolism,1579
degS,EG11652_RNA,EG11652-MONOMER,Metabolism,1583
uidB,EG11658_RNA,UIDB-MONOMER,Metabolism,1588
yedK,EG11662_RNA,EG11662-MONOMER,Metabolism,1592
slyD,EG11663_RNA,EG11663-MONOMER,Metabolism,1593
bacA,EG11665_RNA,EG11665-MONOMER,Metabolism,1595
moaC,EG11666_RNA,EG11666-MONOMER,Metabolism,1596
atoD,EG11669_RNA,ATOD-MONOMER,Metabolism,1599
atoA,EG11670_RNA,ATOA-MONOMER,Metabolism,1600
atoE,EG11671_RNA,EG11671-MONOMER,Metabolism,1601
atoB,EG11672_RNA,ACETYL-COA-ACETYLTRANSFER-MONOMER,Metabolism,1602
folB,EG11673_RNA,H2NEOPTERINALDOL-MONOMER,Metabolism,1603
panB,EG11675_RNA,3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-MONOMER,Metabolism,1605
hslV,EG11676_RNA,EG11676-MONOMER,Metabolism,1606
aas,EG11679_RNA,AAS-MONOMER,Metabolism,1609
lptB,EG11680_RNA,YHBG-MONOMER,Metabolism,1610
yicI,EG11685_RNA,EG11685-MONOMER,Metabolism,1615
nepI,EG11689_RNA,YICM-MONOMER,Metabolism,1619
adeQ,EG11691_RNA,EG11691-MONOMER,Metabolism,1621
adeD,EG11692_RNA,EG11692-MONOMER,Metabolism,1622
emrD,EG11693_RNA,EMRD-MONOMER,Metabolism,1623
galM,EG11698_RNA,ALDOSE1EPIM-MONOMER,Metabolism,1628
gpmA,EG11699_RNA,GPMA-MONOMER,Metabolism,1629
pnuC,EG11700_RNA,PNUC-MONOMER,Metabolism,1630
udk,EG11701_RNA,UDK-MONOMER,Metabolism,1631
nudC,EG11702_RNA,EG11702-MONOMER,Metabolism,1632
acrA,EG11703_RNA,EG11703-MONOMER,Metabolism,1633
acrB,EG11704_RNA,ACRB-MONOMER,Metabolism,1634
mdtL,EG11720_RNA,YIDY-MONOMER,Metabolism,1645
yieF,EG11723_RNA,EG11723-MONOMER,Metabolism,1648
adeP,EG11724_RNA,EG11724-MONOMER,Metabolism,1649
yieH,EG11725_RNA,EG11725-MONOMER,Metabolism,1650
ravA,EG11731_RNA,EG11731-MONOMER,Metabolism,1656
efeB,EG11735_RNA,EG11735-MONOMER,Metabolism,1660
gmhB,EG11736_RNA,EG11736-MONOMER,Metabolism,1661
metI,EG11737_RNA,METI-MONOMER,Metabolism,1662
panC,EG11746_RNA,PANTOATE-BETA-ALANINE-LIG-MONOMER,Metabolism,1670
otsA,EG11751_RNA,TREHALOSE6PSYN-MONOMER,Metabolism,1675
otsB,EG11752_RNA,TREHALOSEPHOSPHASYN-MONOMER,Metabolism,1676
chaA,EG11753_RNA,CHAA-MONOMER,Metabolism,1677
setA,EG11754_RNA,B0070-MONOMER,Metabolism,1678
tsaE,EG11757_RNA,EG11757-MONOMER,Metabolism,1679
nnr,EG11758_RNA,EG11758-MONOMER,Metabolism,1680
pptA,EG11761_RNA,EG11761-MONOMER,Metabolism,1683
selU,EG11768_RNA,EG11768-MONOMER,Metabolism,1689
nuoM,EG11773_RNA,NUOM-MONOMER,Metabolism,1691
nuoF,EG11774_RNA,NUOF-MONOMER,Metabolism,1692
trmB,EG11779_RNA,EG11779-MONOMER,Metabolism,1695
gmd,EG11787_RNA,GDPMANDEHYDRA-MONOMER,Metabolism,1702
fcl,EG11788_RNA,FCL-MONOMER,Metabolism,1703
gmm,EG11789_RNA,GDPMANMANHYDRO-MONOMER,Metabolism,1704
wcaI,EG11790_RNA,EG11790-MONOMER,Metabolism,1705
cmtB,EG11791_RNA,CMTB-MONOMER,Metabolism,1706
cmtA,EG11792_RNA,CMTA-MONOMER,Metabolism,1707
rlmM,EG11794_RNA,EG11794-MONOMER,Metabolism,1709
lplA,EG11796_RNA,EG11796-MONOMER,Metabolism,1711
talA,EG11797_RNA,TRANSALDOLA-MONOMER,Metabolism,1712
hybA,EG11799_RNA,HYBA-MONOMER,Metabolism,1714
hybB,EG11800_RNA,EG11800-MONOMER,Metabolism,1715
hybC,EG11801_RNA,HYBC-MONOMER,Metabolism,1716
purT,EG11809_RNA,GARTRANSFORMYL2-MONOMER,Metabolism,1724
gcvP,EG11810_RNA,GCVP-MONOMER,Metabolism,1725
aidB,EG11811_RNA,EG11811-MONOMER,Metabolism,1726
torA,EG11814_RNA,TORA-MONOMER,Metabolism,1728
torC,EG11815_RNA,EG11815-MONOMER,Metabolism,1729
ispF,EG11816_RNA,EG11816-MONOMER,Metabolism,1730
umpG,EG11817_RNA,EG11817-MONOMER,Metabolism,1731
purU,EG11819_RNA,FORMYLTHFDEFORMYL-MONOMER,Metabolism,1732
amtB,EG11821_RNA,AMTB-MONOMER,Metabolism,1734
puuB,EG11822_RNA,EG11822-MONOMER,Metabolism,1735
etk,EG11826_RNA,EG11826-MONOMER,Metabolism,1739
rpiB,EG11827_RNA,RIB5PISOMB-MONOMER,Metabolism,1740
mobA,EG11829_RNA,EG11829-MONOMER,Metabolism,1742
srkA,EG11831_RNA,EG11831-MONOMER,Metabolism,1744
yihG,EG11833_RNA,EG11833-MONOMER,Metabolism,1746
yihI,EG11835_RNA,EG11835-MONOMER,Metabolism,1747
hemN,EG11836_RNA,HEMN-MONOMER,Metabolism,1748
yihO,EG11841_RNA,YIHO-MONOMER,Metabolism,1753
yihQ,EG11843_RNA,EG11843-MONOMER,Metabolism,1755
yihS,EG11845_RNA,EG11845-MONOMER,Metabolism,1757
yihT,EG11846_RNA,EG11846-MONOMER,Metabolism,1758
yihU,EG11847_RNA,EG11847-MONOMER,Metabolism,1759
yihV,EG11848_RNA,EG11848-MONOMER,Metabolism,1760
yihX,EG11850_RNA,EG11850-MONOMER,Metabolism,1762
dtd,EG11852_RNA,EG11852-MONOMER,Metabolism,1764
fdoI,EG11856_RNA,FDOI-MONOMER,Metabolism,1768
fdoH,EG11857_RNA,FDOH-MONOMER,Metabolism,1769
fdoG,EG11858_RNA,FDOG-MONOMER,Metabolism,1770
fdhD,EG11859_RNA,EG11859-MONOMER,Metabolism,1771
rhaM,EG11865_RNA,EG11865-MONOMER,Metabolism,1777
rhaD,EG11866_RNA,RHAMNULPALDOL-MONOMER,Metabolism,1778
rhaA,EG11867_RNA,RHAMNISOM-MONOMER,Metabolism,1779
rhaB,EG11868_RNA,RHAMNULOKIN-MONOMER,Metabolism,1780
kdgT,EG11869_RNA,KDGT-MONOMER,Metabolism,1781
yiiM,EG11870_RNA,EG11870-MONOMER,Metabolism,1782
gph,EG11871_RNA,GPH-MONOMER,Metabolism,1783
fieF,EG11873_RNA,YIIP-MONOMER,Metabolism,1784
menA,EG11880_RNA,DMK-MONOMER,Metabolism,1791
hslU,EG11881_RNA,EG11881-MONOMER,Metabolism,1792
tehB,EG11884_RNA,EG11884-MONOMER,Metabolism,1795
trmL,EG11888_RNA,EG11888-MONOMER,Metabolism,1799
dacD,EG11893_RNA,RPOA-MONOMER,Metabolism,1804
tsuA,EG11895_RNA,EG11895-MONOMER,Metabolism,1806
plaP,EG11896_RNA,YEEF-MONOMER,Metabolism,1807
yijE,EG11902_RNA,EG11902-MONOMER,Metabolism,1812
gldA,EG11904_RNA,GLYCDEH-MONOMER,Metabolism,1814
fsaB,EG11905_RNA,EG11905-MONOMER,Metabolism,1815
eptC,EG11914_RNA,EG11914-MONOMER,Metabolism,1823
nfi,EG11915_RNA,EG11915-MONOMER,Metabolism,1824
yjbB,EG11919_RNA,EG11919-MONOMER,Metabolism,1828
pepE,EG11920_RNA,EG11920-MONOMER,Metabolism,1829
rluF,EG11921_RNA,EG11921-MONOMER,Metabolism,1830
dusA,EG11932_RNA,EG11932-MONOMER,Metabolism,1840
aphA,EG11934_RNA,APHA-MONOMER,Metabolism,1842
pdeC,EG11938_RNA,EG11938-MONOMER,Metabolism,1846
ghxP,EG11939_RNA,EG11939-MONOMER,Metabolism,1847
actP,EG11942_RNA,YJCG-MONOMER,Metabolism,1850
nrfC,EG11946_RNA,NRFC-MONOMER,Metabolism,1853
nrfD,EG11947_RNA,NRFD-MONOMER,Metabolism,1854
mdtP,EG11952_RNA,EG11952-MONOMER,Metabolism,1859
mdtO,EG11953_RNA,YJCQ-MONOMER,Metabolism,1860
mdtN,EG11954_RNA,EG11954-MONOMER,Metabolism,1861
yjcS,EG11955_RNA,EG11955-MONOMER,Metabolism,1862
alsK,EG11956_RNA,EG11956-MONOMER,Metabolism,1863
alsE,EG11957_RNA,EG11957-MONOMER,Metabolism,1864
alsC,EG11958_RNA,YJCV-MONOMER,Metabolism,1865
alsA,EG11959_RNA,YJCW-MONOMER,Metabolism,1866
lldP,EG11961_RNA,LCTP-MONOMER,Metabolism,1867
lldD,EG11963_RNA,L-LACTDEHYDROGFMN-MONOMER,Metabolism,1869
nupC,EG11971_RNA,NUPC-MONOMER,Metabolism,1876
rfbA,EG11978_RNA,DTDPGLUCOSEPP-MONOMER,Metabolism,1883
rfbC,EG11979_RNA,DTDPDEHYDRHAMEPIM-MONOMER,Metabolism,1884
glf,EG11981_RNA,GALPMUT-MONOMER,Metabolism,1886
wbbI,EG11983_RNA,EG11983-MONOMER,Metabolism,1888
yehW,EG12009_RNA,YEHW-MONOMER,Metabolism,1907
yehX,EG12010_RNA,YEHX-MONOMER,Metabolism,1908
yehY,EG12011_RNA,YEHY-MONOMER,Metabolism,1909
osmF,EG12012_RNA,YEHZ-MONOMER,Metabolism,1910
bglX,EG12013_RNA,EG12013-MONOMER,Metabolism,1911
pbpG,EG12015_RNA,EG12015-MONOMER,Metabolism,1912
dusC,EG12022_RNA,EG12022-MONOMER,Metabolism,1916
yeiG,EG12026_RNA,EG12026-MONOMER,Metabolism,1920
rihB,EG12030_RNA,EG12030-MONOMER,Metabolism,1924
psuT,EG12032_RNA,YEIM-MONOMER,Metabolism,1926
psuG,EG12033_RNA,EG12033-MONOMER,Metabolism,1927
setB,EG12034_RNA,B2170-MONOMER,Metabolism,1928
yejA,EG12037_RNA,YEJA-MONOMER,Metabolism,1931
yejB,EG12038_RNA,YEJB-MONOMER,Metabolism,1932
yejE,EG12040_RNA,YEJE-MONOMER,Metabolism,1933
yejF,EG12041_RNA,YEJF-MONOMER,Metabolism,1934
rsuA,EG12044_RNA,EG12044-MONOMER,Metabolism,1937
radD,EG12045_RNA,EG12045-MONOMER,Metabolism,1938
ccmH,EG12052_RNA,EG12052-MONOMER,Metabolism,1941
ccmG,EG12053_RNA,EG12053-MONOMER,Metabolism,1942
ccmF,EG12054_RNA,EG12054-MONOMER,Metabolism,1943
ccmE,EG12055_RNA,CCME-MONOMER,Metabolism,1944
ccmC,EG12057_RNA,CCMC-MONOMER,Metabolism,1945
ccmB,EG12058_RNA,CCMB-MONOMER,Metabolism,1946
ccmA,EG12059_RNA,CCMA-MONOMER,Metabolism,1947
napC,EG12060_RNA,NAPC-MONOMER,Metabolism,1948
napH,EG12062_RNA,NAPH-MONOMER,Metabolism,1950
napG,EG12064_RNA,NAPG-MONOMER,Metabolism,1951
mqo,EG12069_RNA,EG12069-MONOMER,Metabolism,1954
ftp,EG12073_RNA,EG12073-MONOMER,Metabolism,1956
nikA,EG12075_RNA,NIKA-MONOMER,Metabolism,1957
nikB,EG12076_RNA,NIKB-MONOMER,Metabolism,1958
nikC,EG12077_RNA,NIKC-MONOMER,Metabolism,1959
nikD,EG12078_RNA,NIKD-MONOMER,Metabolism,1960
nikE,EG12079_RNA,NIKE-MONOMER,Metabolism,1961
nuoA,EG12082_RNA,NUOA-MONOMER,Metabolism,1964
nuoB,EG12083_RNA,NUOB-MONOMER,Metabolism,1965
nuoC,EG12084_RNA,NUOC-MONOMER,Metabolism,1966
nuoE,EG12086_RNA,NUOE-MONOMER,Metabolism,1967
nuoG,EG12087_RNA,NUOG-MONOMER,Metabolism,1968
nuoH,EG12088_RNA,NUOH-MONOMER,Metabolism,1969
nuoI,EG12089_RNA,NUOI-MONOMER,Metabolism,1970
nuoJ,EG12090_RNA,NUOJ-MONOMER,Metabolism,1971
nuoK,EG12091_RNA,NUOK-MONOMER,Metabolism,1972
nuoL,EG12092_RNA,NUOL-MONOMER,Metabolism,1973
nuoN,EG12093_RNA,NUON-MONOMER,Metabolism,1974
secG,EG12095_RNA,SECG,Metabolism,1976
yfiH,EG12097_RNA,EG12097-MONOMER,Metabolism,1978
rluD,EG12098_RNA,EG12098-MONOMER,Metabolism,1979
tktB,EG12100_RNA,TRANSKETOII-MONOMER,Metabolism,1981
feoB,EG12102_RNA,FEOB-MONOMER,Metabolism,1983
yeiR,EG12104_RNA,EG12104-MONOMER,Metabolism,1984
yjjG,EG12115_RNA,EG12115-MONOMER,Metabolism,1994
lrhA,EG12123_RNA,EG12123-MONOMER,Transcription Regulation,2001
hisJ,EG12124_RNA,HISJ-MONOMER,Metabolism,2002
hisQ,EG12125_RNA,HISQ-MONOMER,Metabolism,2003
treB,EG12127_RNA,TREB-MONOMER,Metabolism,2004
lgt,EG12128_RNA,EG12128-MONOMER,Metabolism,2005
uraA,EG12129_RNA,URAA-MONOMER,Metabolism,2006
hscA,EG12130_RNA,EG12130-MONOMER,Metabolism,2007
ucpA,EG12133_RNA,EG12133-MONOMER,Metabolism,2010
rhtA,EG12134_RNA,EG12134-MONOMER,Metabolism,2011
sdaC,EG12142_RNA,SDAC-MONOMER,Metabolism,2018
pgm,EG12144_RNA,PHOSPHOGLUCMUT-MONOMER,Metabolism,2020
galP,EG12148_RNA,GALP-MONOMER,Metabolism,2023
cobS,EG12150_RNA,COBS-MONOMER,Metabolism,2024
cobT,EG12151_RNA,DMBPPRIBOSYLTRANS-MONOMER,Metabolism,2025
idnK,EG12152_RNA,GLUCONOKINI-MONOMER,Metabolism,2026
narU,EG12153_RNA,NARU-MONOMER,Metabolism,2027
ppnP,EG12159_RNA,EG12159-MONOMER,Metabolism,2031
rsmB,EG12163_RNA,EG12163-MONOMER,Metabolism,2032
cmoM,EG12167_RNA,EG12167-MONOMER,Metabolism,2036
brnQ,EG12168_RNA,BRNQ-MONOMER,Metabolism,2037
ccmD,EG12169_RNA,EG12169-MONOMER,Metabolism,2038
hinT,EG12172_RNA,EG12172-MONOMER,Metabolism,2040
gspM,EG12173_RNA,EG12173-MONOMER,Metabolism,2041
dsbD,EG12178_RNA,DSBD-MONOMER,Metabolism,2044
pagP,EG12180_RNA,EG12180-MONOMER,Metabolism,2046
ampG,EG12183_RNA,AMPG-MONOMER,Metabolism,2049
hemF,EG12189_RNA,COPROGENOXI-MONOMER,Metabolism,2051
nadK,EG12192_RNA,MONOMER0-541,Metabolism,2054
chbG,EG12198_RNA,EG12198-MONOMER,Metabolism,2060
rlmA,EG12207_RNA,EG12207-MONOMER,Metabolism,2067
crcB,EG12209_RNA,EG12209-MONOMER,Metabolism,2068
waaF,EG12210_RNA,EG12210-MONOMER,Metabolism,2069
zntA,EG12215_RNA,YHHO-MONOMER,Metabolism,2074
tusA,EG12216_RNA,EG12216-MONOMER,Metabolism,2075
yhhQ,EG12217_RNA,EG12217-MONOMER,Metabolism,2076
acpT,EG12221_RNA,EG12221-MONOMER,Metabolism,2079
pitA,EG12230_RNA,PITA-MONOMER,Metabolism,2085
dtpB,EG12232_RNA,YHIP-MONOMER,Metabolism,2087
rsmJ,EG12233_RNA,EG12233-MONOMER,Metabolism,2088
rlmJ,EG12234_RNA,EG12234-MONOMER,Metabolism,2089
arsB,EG12236_RNA,ARSF-MONOMER,Metabolism,2091
arsC,EG12237_RNA,EG12237-MONOMER,Metabolism,2092
mdtE,EG12240_RNA,EG12240-MONOMER,Metabolism,2093
mdtF,EG12241_RNA,YHIV-MONOMER,Metabolism,2094
ccp,EG12244_RNA,EG12244-MONOMER,Metabolism,2097
treF,EG12245_RNA,TREHALACYTO-MONOMER,Metabolism,2098
pdeH,EG12252_RNA,EG12252-MONOMER,Metabolism,2104
kdgK,EG12253_RNA,DEOXYGLUCONOKIN-MONOMER,Metabolism,2105
pdeK,EG12256_RNA,EG12256-MONOMER,Metabolism,2107
bcsG,EG12265_RNA,EG12265-MONOMER,Metabolism,2115
eptB,EG12267_RNA,EG12267-MONOMER,Metabolism,2117
yiaC,EG12270_RNA,EG12270-MONOMER,Metabolism,2120
ghrB,EG12272_RNA,MONOMER-43,Metabolism,2122
xylG,EG12275_RNA,XYLG-MONOMER,Metabolism,2125
xylH,EG12276_RNA,XYLH-MONOMER,Metabolism,2126
yiaK,EG12279_RNA,EG12279-MONOMER,Metabolism,2129
yiaM,EG12281_RNA,MONOMER0-422,Metabolism,2131
yiaN,EG12282_RNA,EG12282-MONOMER,Metabolism,2132
yiaO,EG12283_RNA,EG12283-MONOMER,Metabolism,2133
lyxK,EG12284_RNA,LYXK-MONOMER,Metabolism,2134
sgbH,EG12285_RNA,EG12285-MONOMER,Metabolism,2135
sgbU,EG12286_RNA,EG12286-MONOMER,Metabolism,2136
sgbE,EG12287_RNA,EG12287-MONOMER,Metabolism,2137
aldB,EG12292_RNA,ALDDEHYDROGB-MONOMER,Metabolism,2142
yiaY,EG12293_RNA,EG12293-MONOMER,Metabolism,2143
grxC,EG12294_RNA,GRXC-MONOMER,Metabolism,2144
gpmM,EG12296_RNA,PGMI-MONOMER,Metabolism,2146
tmk,EG12302_RNA,DTMPKI-MONOMER,Metabolism,2150
sapD,EG12304_RNA,SAPD-MONOMER,Metabolism,2152
sapF,EG12305_RNA,SAPF-MONOMER,Metabolism,2153
pepB,EG12310_RNA,EG12310-MONOMER,Metabolism,2156
coaE,EG12312_RNA,EG12312-MONOMER,Metabolism,2158
cueO,EG12318_RNA,EG12318-MONOMER,Metabolism,2163
can,EG12319_RNA,EG12319-MONOMER,Metabolism,2164
thpR,EG12330_RNA,EG12330-MONOMER,Metabolism,2174
clcA,EG12331_RNA,YADQ-MONOMER,Metabolism,2175
btuF,EG12334_RNA,EG12334-MONOMER,Metabolism,2178
ydfG,EG12345_RNA,EG12345-MONOMER,Metabolism,2189
tcyN,EG12347_RNA,EG12347-MONOMER,Metabolism,2190
ppiC,EG12352_RNA,EG12352-MONOMER,Metabolism,2191
arfB,EG12354_RNA,EG12354-MONOMER,Metabolism,2192
fadK,EG12357_RNA,EG12357-MONOMER,Metabolism,2194
ssuB,EG12358_RNA,YCBE-MONOMER,Metabolism,2195
kduD,EG12361_RNA,KDUD-MONOMER,Metabolism,2198
menF,EG12362_RNA,MENF-MONOMER,Metabolism,2199
rsmE,EG12366_RNA,EG12366-MONOMER,Metabolism,2202
cusA,EG12367_RNA,YBDE-MONOMER,Metabolism,2203
znuB,EG12368_RNA,ZNUB-MONOMER,Metabolism,2204
ppnN,EG12373_RNA,EG12373-MONOMER,Metabolism,2209
gntT,EG12380_RNA,GNTT-MONOMER,Metabolism,2215
nrdF,EG12381_RNA,NRDF-MONOMER,Metabolism,2216
ybcF,EG12384_RNA,EG12384-MONOMER,Metabolism,2217
lhgD,EG12387_RNA,EG12387-MONOMER,Metabolism,2220
dauA,EG12392_RNA,YCHM-MONOMER,Metabolism,2223
ttdT,EG12393_RNA,YGJE-MONOMER,Metabolism,2224
msrB,EG12394_RNA,EG12394-MONOMER,Metabolism,2225
dgcE,EG12396_RNA,EG12396-MONOMER,Metabolism,2227
dhaM,EG12399_RNA,EG12399-MONOMER,Metabolism,2229
mdtK,EG12400_RNA,YDHE-MONOMER,Metabolism,2230
rlmN,EG12401_RNA,EG12401-MONOMER,Metabolism,2231
chaC,EG12403_RNA,EG12403-MONOMER,Metabolism,2233
nudK,EG12410_RNA,EG12410-MONOMER,Metabolism,2239
rfbD,EG12411_RNA,DTDPDEHYRHAMREDUCT-MONOMER,Metabolism,2240
rfbB,EG12412_RNA,DTDPGLUCDEHYDRAT-MONOMER,Metabolism,2241
gatA,EG12414_RNA,GATA-MONOMER,Metabolism,2242
gatB,EG12415_RNA,GATB-MONOMER,Metabolism,2243
gatD,EG12417_RNA,GALACTITOLPDEHYD-MONOMER,Metabolism,2244
gatY,EG12419_RNA,TAGAALDOL2-MONOMER,Metabolism,2245
tauD,EG12423_RNA,MONOMER0-147,Metabolism,2248
prmC,EG12424_RNA,EG12424-MONOMER,Metabolism,2249
modA,EG12427_RNA,MODA-MONOMER,Metabolism,2250
ydiF,EG12432_RNA,EG12432-MONOMER,Metabolism,2254
rluB,EG12433_RNA,EG12433-MONOMER,Metabolism,2255
menE,EG12437_RNA,O-SUCCINYLBENZOATE-COA-LIG-MONOMER,Metabolism,2258
menH,EG12438_RNA,EG12438-MONOMER,Metabolism,2259
yjfF,EG12439_RNA,YJFF-MONOMER,Metabolism,2260
mpl,EG12440_RNA,EG12440-MONOMER,Metabolism,2261
eamB,EG12445_RNA,EG12445-MONOMER,Metabolism,2265
prmB,EG12449_RNA,EG12449-MONOMER,Metabolism,2268
norW,EG12450_RNA,EG12450-MONOMER,Metabolism,2269
lplT,EG12455_RNA,EG12455-MONOMER,Metabolism,2271
alsB,EG12458_RNA,YJCX-MONOMER,Metabolism,2272
adiC,EG12462_RNA,YJDE-MONOMER,Metabolism,2273
dtpC,EG12469_RNA,YJDL-MONOMER,Metabolism,2274
ulaB,EG12494_RNA,YJFT-MONOMER,Metabolism,2276
ulaC,EG12495_RNA,YJFU-MONOMER,Metabolism,2277
cycA,EG12504_RNA,CYCA-MONOMER,Metabolism,2278
ytfQ,EG12517_RNA,YTFQ-MONOMER,Metabolism,2279
ytfR,EG12518_RNA,YTFR-MONOMER,Metabolism,2280
